3483 3437
1183 1127 1159
3913 3790 3860
475 390 391
2821 2810 2766
2149 2111 2133
2267 2111 2133
3114 2890 3042
238 56 13
3630 3437 3602
118 0 56
515 391 370
2828 2823 2778
519 481 470
1978 1936 1912
19 0 17
2562 2107 2448
2561 2276 2430
3495 3449 3437
3095 2877 2854
1107 1074 1040
3804 3681 3640
2557 2133 2199
1985 1943 1953
2555 2032 2153
2676 2669 2666
1587 1583 1462
522 455 466
489 481 361
1069 1006 960
3004 2909 2694
526 493 494
804 782 686
2956 2669 2944
1867 1340 1184
3541 3538 3437
3383 3190 2771
1118 992 963
1359 1063 1040
2447 2011 2297
1753 1185 1182
2566 2232 2265
3015 2832 1684
777 709 770
3655 3437 3500
1638 1066 1583
3778 3437 3521
2187 2111 2032
3550 3437 3525
2181 2129 2126
3307 3035 3178
1523 1440 1184
1401 1017 1248
2853 2661 2793
2335 2070 1990
1526 1080 651
3837 3571 3836
2228 1964 1975
310 0 111
2501 2111 2199
158 22 67
1774 1384 1480
2224 2191 2111
1496 1121 1385
954 896 941
1813 1184 1181
4023 3980 4002
2120 2107 2105
2085 1964 1982
1789 1341 1340
2876 1684 2661
3601 3437 3568
2753 2742 2665
1388 1361 1160
1662 1185 1460
1266 1138 107
1306 1066 1131
1165 1029 991
3979 3626 3847
1954 1919 1921
3738 3464 3474
972 960 107
698 686 697
2002 1932 1941
856 772 697
3731 3670 3640
1718 1440 1165
3734 3684 3640
2802 1684 2693
460 391 370
343 44 14
3348 2909 3000
1324 1066 1099
863 861 698
3586 3475 3495
747 696 686
628 583 599
3508 3505 3437
3506 3437 3458
1449 1341 1086
## Evaluation:  testTotal: 500 predTotal: 199 correctPredict: 32 precisions(%): 16.08040201005025 recalls(%): 6.4
## The average running times for each target user : 0.473 seconds.
## The whole program's execution time: 48.943 seconds.
